Title,Status,Milestone,Labels,Commit,Description
Setup TypeScript CLI project with build tooling,Done,Foundation,"feature, infrastructure",72958ad,"Initialize Node.js project with TypeScript, Commander.js, chalk, uuid dependencies. Create tsconfig.json and build scripts."
Implement core data models,Done,Foundation,"feature, backend",72958ad,"Create Thread, Group, Dependency TypeScript interfaces with enums for status, temperature, size, and importance."
Create JSON storage layer with CRUD operations,Done,Foundation,"feature, backend",72958ad,"Build store.ts with file-based persistence at ~/.threads/threads.json. Implement getAllThreads, getThread, createThread, updateThread, deleteThread."
Build CLI framework with Commander.js,Done,Foundation,"feature, infrastructure",72958ad,Create index.ts entry point with command registration system and version metadata.
Develop console formatting utilities,Done,Foundation,"feature, ui",72958ad,"Create format.ts with chalk-based color output, thread property formatters, error and success helpers."
Implement thread lifecycle commands,Done,Foundation,"feature, command",72958ad,"Build new, list, and show commands for basic thread management."
Add progress tracking functionality,Done,Foundation,"feature, command",72958ad,Create progress command for timestamped append-only progress notes.
Create property management,Done,Foundation,"feature, command",72958ad,"Implement set command for updating thread status, temperature, size, importance, and description."
Build hierarchical features,Done,Foundation,"feature, command",72958ad,Add spawn command for sub-thread creation and depend command for thread relationships.
Add organizational features,Done,Foundation,"feature, command",72958ad,Implement group command for thread organization and archive command for thread lifecycle.
Design tree view layout,Done,Enhanced Visualization,"feature, ui",6203c36,Plan box-drawing character structure and nested display logic.
Implement box-drawing character rendering,Done,Enhanced Visualization,"feature, ui",6203c36,Add ├── └── │ characters for visual hierarchy in tree view.
Add recursive tree building algorithm,Done,Enhanced Visualization,"feature, backend",6203c36,Create buildThreadTree() function with recursive rendering.
Update list command with tree/flat modes,Done,Enhanced Visualization,"feature, command",6203c36,"Make tree view default, add --flat flag for original view."
Test tree view with nested structures,Done,Enhanced Visualization,test,6203c36,Verify tree rendering with multiple levels and groups.
Add parent property to set command,Done,Enhanced Visualization,"feature, command",480f5f4,Enable 'threads set <thread> parent <target>' syntax.
Implement parent validation,Done,Enhanced Visualization,"feature, backend",480f5f4,Validate parent exists and prevent self-parenting.
Support removing parent,Done,Enhanced Visualization,"feature, command",480f5f4,Allow 'threads set <thread> parent none' to make thread top-level.
Update help documentation for parent property,Done,Enhanced Visualization,docs,480f5f4,Add parent property to set command documentation.
Design overview dashboard layout,Done,Activity Management,"feature, ui",07a2684,"Plan sections for hot threads, recent activity, cold threads, and statistics."
Implement hot threads detection,Done,Activity Management,"feature, backend",07a2684,Filter threads with temperature >= warm.
Build recent activity tracker,Done,Activity Management,"feature, backend",07a2684,Show threads with progress within configurable threshold.
